Date,Home Team,Away Team
15/08/2026,Oxford United,MK Dons
22/08/2026,Stevenage,Oxford United
08/09/2026,Oxford United,Reading
01/09/2026,Huddersfield Town,Oxford United
05/09/2026,Leicester City,Oxford United
12/09/2026,Oxford United,Burton Albion
19/09/2026,Oxford United,Cambridge United
26/09/2026,Doncaster Rovers,Oxford United
03/10/2026,Oxford United,Stockport County
10/10/2026,Notts County,Oxford United
15/10/2026,Mansfield Town,Oxford United
20/10/2026,Oxford United,Wigan Athletic
24/10/2026,Oxford United,Bradford City
31/10/2026,Barnsley,Oxford United
14/11/2026,Peterborough United,Oxford United
21/11/2026,Oxford United,Wycombe Wanderers
28/11/2026,Luton Town,Oxford United
01/12/2026,Oxford United,Sheffield Wednesday
12/12/2026,Oxford United,Blackpool
19/12/2026,AFC Wimbledon,Oxford United
26/12/2026,Oxford United,Plymouth Argyle
29/12/2026,Bromley,Oxford United
01/01/2027,Leyton Orient,Oxford United
09/01/2027,Oxford United,AFC Wimbledon
16/01/2027,Oxford United,Mansfield Town
19/01/2027,Wigan Athletic,Oxford United
23/01/2027,Bradford City,Oxford United
30/01/2027,Oxford United,Barnsley
06/02/2027,Reading,Oxford United
09/02/2027,Oxford United,Huddersfield Town
13/02/2027,Oxford United,Leicester City
20/02/2027,Burton Albion,Oxford United
27/02/2027,Oxford United,Luton Town
06/03/2027,MK Dons,Oxford United
13/03/2027,Oxford United,Stevenage
20/03/2027,Wycombe Wanderers,Oxford United
26/03/2027,Oxford United,Leyton Orient
29/03/2027,Blackpool,Oxford United
03/04/2027,Oxford United,Bromley
10/04/2027,Plymouth Argyle,Oxford United
13/04/2027,Oxford United,Doncaster Rovers
17/04/2027,Cambridge United,Oxford United
24/04/2027,Oxford United,Notts County
27/04/2027,Stockport County,Oxford United
01/05/2027,Oxford United,Peterborough United
08/05/2027,Sheffield Wednesday,Oxford United
